	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
5	hsa-let-7c	5976.42812421439	-1.27914244444224	0.223067434167552	-5.73433073821721	9.78981336274673e-09	5.2091476041282e-08	Down
6	hsa-let-7e	4038.27969672302	-1.1201503653472	0.172928041548407	-6.47755190724023	9.32227082594192e-11	6.53316866013165e-10	Down
10	hsa-mir-1-1	246.800201848544	-3.04579620618776	0.315768019315528	-9.64567663561987	5.12719338590843e-22	1.3392850601979e-20	Down
11	hsa-mir-1-2	262.611267590026	-3.07064597187496	0.312120094331933	-9.83802718132396	7.72099604098484e-23	2.29499951287205e-21	Down
12	hsa-mir-100	12986.4950664474	-1.27978490325803	0.204557977480468	-6.25634316012063	3.9410905793172e-10	2.63350393749723e-09	Down
32	hsa-mir-1258	4.08410158264573	-1.6828374366231	0.278699342479453	-6.0381822994332	1.55859927624233e-09	9.32994844528397e-09	Down
33	hsa-mir-125a	1504.89479188691	-1.09434726831729	0.117498984016771	-9.313674305142	1.23484932035647e-20	2.66110028536819e-19	Down
34	hsa-mir-125b-1	968.005522906629	-1.09892643411968	0.192112459714223	-5.72022468378362	1.06383279188675e-08	5.56661858110407e-08	Down
35	hsa-mir-125b-2	1012.51008336268	-1.10866033516022	0.193823333861651	-5.71995287188471	1.06553603930646e-08	5.56661858110407e-08	Down
36	hsa-mir-1262	3.62215111601041	-1.01853009209173	0.166143914831013	-6.13040864679092	8.76536364901028e-10	5.43578666578911e-09	Down
45	hsa-mir-129-1	15.9502281880817	-1.74894541351871	0.290565134788604	-6.01911655640008	1.75371560694568e-09	1.04255369185323e-08	Down
46	hsa-mir-129-2	18.9263026538957	-1.58040602666158	0.295067848912191	-5.35607668706696	8.50484233997666e-08	3.920413955647e-07	Down
55	hsa-mir-133a-1	172.23980432421	-3.17626258552038	0.30384954928905	-10.4534056178534	1.41356205300166e-25	6.76939160937461e-24	Down
56	hsa-mir-133a-2	158.502505448186	-3.21539365763118	0.304699456294561	-10.5526727770816	4.93722656361214e-26	2.78949134737906e-24	Down
57	hsa-mir-133b	44.3747433302619	-2.86547557220409	0.320822801231098	-8.93164563493728	4.19718060904537e-19	8.03993263332691e-18	Down
61	hsa-mir-137	2.3725748575565	-1.81272249804805	0.477291886108454	-3.7979327761632	0.000145907879630791	0.000449187829434792	Down
63	hsa-mir-139	236.900342493473	-2.31735177562274	0.169578451490821	-13.6653670041808	1.63477484866109e-42	2.34862653257644e-40	Down
67	hsa-mir-143	1009653.81224826	-2.06045204352052	0.21290178960833	-9.67794609576121	3.74156911769039e-22	1.00788518107785e-20	Down
68	hsa-mir-144	398.724355773166	-1.18215077262154	0.215685620391878	-5.48089747695604	4.23173662483234e-08	2.07258918784402e-07	Down
69	hsa-mir-145	21229.0337405125	-2.40755660903155	0.214407535081873	-11.2288805900045	2.94181885637523e-29	1.95065219553496e-27	Down
75	hsa-mir-149	70.6804786835841	-1.40506588655566	0.204565090919971	-6.86855161961794	6.48570054738689e-12	5.32445130652142e-11	Down
94	hsa-mir-187	41.0282414860832	-1.31622983415887	0.378182323474963	-3.48041077664491	0.00050064554511823	0.0014057213677261	Down
100	hsa-mir-193a	583.987260701152	-1.15674493334114	0.123580352639196	-9.36026567846403	7.95364417267438e-21	1.8042213886435e-19	Down
104	hsa-mir-195	154.737638853256	-1.63410890164497	0.158207829161877	-10.3288750645391	5.21687901692339e-25	2.13095210998628e-23	Down
117	hsa-mir-202	2.12613701621365	-1.54762290520808	0.308600632956839	-5.01496996418842	5.30417510740373e-07	2.19817256854905e-06	Down
118	hsa-mir-203a	44558.8339022051	-1.54604960861589	0.252137566350129	-6.131770172117	8.69065922121825e-10	5.4285132236885e-09	Down
120	hsa-mir-204	25.4094088704811	-1.98397065005238	0.310222510842539	-6.39531491336356	1.6021680752032e-10	1.10485510466012e-09	Down
121	hsa-mir-205	733.424269402906	-2.80361094295253	0.708140338613134	-3.95911769190171	7.52271611851703e-05	0.00024656202639398	Down
132	hsa-mir-218-1	64.3327636386605	-1.34249099517477	0.190827735069499	-7.0350936916263	1.99127154313665e-12	1.88623743976241e-11	Down
133	hsa-mir-218-2	61.9416986304789	-1.34883173717138	0.190994041917055	-7.06216656620707	1.63926317339272e-12	1.57004983940503e-11	Down
140	hsa-mir-23b	4845.98140516148	-1.13592166011795	0.123686037456047	-9.18391180994544	4.157090669024e-20	8.7400296504846e-19	Down
142	hsa-mir-26a-1	3493.1500718347	-1.02061148218492	0.0977908815875818	-10.4366732932135	1.68616450108638e-25	7.64986210492873e-24	Down
143	hsa-mir-26a-2	3500.48965811911	-1.0170508435439	0.0977364923869915	-10.4060501733257	2.32676234996295e-25	1.00283457283403e-23	Down
145	hsa-mir-27b	6246.56673515175	-1.1278565792595	0.106924034866432	-10.5482044394266	5.17771015754813e-26	2.78949134737906e-24	Down
146	hsa-mir-28	20586.1097832235	-1.19117840905303	0.115369699531582	-10.3248809166478	5.43862487467497e-25	2.13095210998628e-23	Down
152	hsa-mir-29c	9489.53280302812	-1.66203516075946	0.153888910498982	-10.8002269648303	3.43353776612942e-27	2.1140782531454e-25	Down
156	hsa-mir-30a	59064.1536911603	-1.48767857246743	0.172526631646487	-8.62289235157463	6.52838206245794e-18	1.12549306756775e-16	Down
159	hsa-mir-30c-2	930.357862945152	-1.03903904454702	0.101645580042034	-10.2221763515673	1.57758546456617e-24	5.66616112690015e-23	Down
175	hsa-mir-3199-2	2.44663776922769	-1.18206131631251	0.163899996423382	-7.21208872548747	5.51000504888251e-13	5.45933833578933e-12	Down
182	hsa-mir-328	62.6594015222466	-1.00780314495411	0.144760431344439	-6.96186890018427	3.35787922352546e-12	2.9840122584319e-11	Down
