	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
17	hsa-mir-105-1	109.049211201608	6.54530319479663	0.642576488669222	10.1860296948492	2.28923358243667e-24	7.89327739224163e-23	Up
18	hsa-mir-105-2	109.493606458005	6.35551522101676	0.642088654720416	9.89818956353331	4.23878654002867e-23	1.30494071339454e-21	Up
25	hsa-mir-1228	3.44791954628006	1.62542641360685	0.247986775351861	6.55448828390376	5.58329982215139e-11	4.07864783618178e-10	Up
26	hsa-mir-1229	2.62863777395541	1.16947965250576	0.314833176401881	3.71460106546373	0.000203524517534777	0.000615572400403431	Up
29	hsa-mir-1254-1	1.44825229284447	1.70870489949963	0.33448613580075	5.10844760548608	3.24816446579519e-07	1.37250871054679e-06	Up
30	hsa-mir-1254-2	1.50096069724696	1.82687302911164	0.340089665926291	5.37173931508871	7.79807875913388e-08	3.61394832815775e-07	Up
38	hsa-mir-1269a	91.0165962913035	6.98441100820432	0.692986905476332	10.0787056046947	6.8624159032635e-24	2.19088981800487e-22	Up
39	hsa-mir-1269b	13.3292592669379	5.822192856143	1.00284769319187	5.80566011735252	6.41129016105927e-09	3.52008415212299e-08	Up
42	hsa-mir-1276	1.01421908287664	1.82743676384903	0.409490611716713	4.46270735289349	8.09305496282307e-06	2.99408299482982e-05	Up
48	hsa-mir-1292	1.99617222585842	1.59067706796059	0.299655776569008	5.30834775212243	1.10623431974713e-07	4.94079784260115e-07	Up
50	hsa-mir-1301	31.0866134474707	1.3412237550997	0.157211654111303	8.53132525499757	1.44680629485347e-17	2.30953152993276e-16	Up
51	hsa-mir-1304	5.79995341889772	1.77490780373372	0.325515341189371	5.45260876875586	4.96361927231611e-08	2.37702211818694e-07	Up
52	hsa-mir-1307	4780.32797425083	1.05345160576085	0.122762261732674	8.58123327879733	9.38613114804513e-18	1.52657453766319e-16	Up
54	hsa-mir-130b	106.842016387254	1.113682255987	0.157109921578107	7.08855459159104	1.35519921960778e-12	1.31256373854147e-11	Up
60	hsa-mir-135b	200.855075536673	3.30285063099677	0.234111482162122	14.1080249481721	3.389381549678e-45	5.84329379164487e-43	Up
65	hsa-mir-141	5397.04265833058	1.07056542313309	0.184449109486819	5.80412356617852	6.4703548615256e-09	3.53002904470574e-08	Up
71	hsa-mir-146b	2424.57153057441	1.85573250626834	0.137258234089089	13.5200086070163	1.19161856843684e-41	1.46739315141794e-39	Up
85	hsa-mir-17	3465.32932169912	1.19227179614452	0.138409707775857	8.61407639177518	7.05076706671967e-18	1.16880023298314e-16	Up
86	hsa-mir-181a-1	2109.8152333023	1.02920566660157	0.114085349441532	9.02136577255287	1.85758745275328e-19	3.72381484714727e-18	Up
88	hsa-mir-181b-1	441.249234746359	1.18678328561523	0.132307358738046	8.96989628494463	2.96793768615413e-19	5.81445973969287e-18	Up
89	hsa-mir-181b-2	416.888142595239	1.18767667575437	0.139290561582012	8.52661273143823	1.50695314785448e-17	2.36180656991011e-16	Up
90	hsa-mir-182	40210.7871041847	1.62288760677592	0.18387336442886	8.82611579886442	1.08373818714402e-18	1.98762195174073e-17	Up
91	hsa-mir-183	16102.5025753212	2.00336329214998	0.195926326170391	10.2250847617472	1.53093965537382e-24	5.66616112690015e-23	Up
92	hsa-mir-184	8.55668735454274	2.56973434575275	0.470375984549475	5.46314954453729	4.67760223996278e-08	2.26522086002692e-07	Up
95	hsa-mir-188	18.4042113521091	1.50787163908761	0.173430767665629	8.69437216581292	3.48752801317269e-18	6.13520234154053e-17	Up
96	hsa-mir-18a	118.180699986216	2.07185727137669	0.182955895941865	11.3243536684657	9.94093904045189e-30	7.14090787739128e-28	Up
98	hsa-mir-1911	3.9975932136065	3.04012572409039	0.847367774044889	3.58772874920464	0.000333571046481485	0.000971412979956215	Up
102	hsa-mir-194-1	21940.9723079529	1.29737830385896	0.199641893934729	6.498527329555	8.11100621079072e-11	5.7308912735259e-10	Up
103	hsa-mir-194-2	24523.9270318584	1.36647432018665	0.197671497676015	6.91285459083389	4.74996777695581e-12	4.05393289478803e-11	Up
105	hsa-mir-196a-1	321.778051947157	4.83908526574369	0.279994578585625	17.2827820102376	6.34141412865744e-67	2.73314948945136e-64	Up
106	hsa-mir-196a-2	362.218730136557	4.79402724156843	0.279415621972918	17.1573343241098	5.53986332890942e-66	1.59178739650664e-63	Up
107	hsa-mir-196b	1784.79493023182	4.58631087572385	0.302649113960495	15.1538883286554	7.14135385145789e-52	1.53896175498918e-49	Up
